id,nombre,gentilicio,iso
187,Túnez,tunecina,TUN
188,Turkmenistán,turcomana,TKM
189,Turquía,turca,TUR
190,Tuvalu,tuvaluana,TUV
191,Ucrania,ucraniana,UKR
192,Uganda,ugandésa,UGA
193,Uruguay,uruguaya,URY
194,Uzbekistán,uzbeka,UZB
195,Vanuatu,vanuatuense,VUT
196,Venezuela,venezolana,VEN
197,Vietnam,vietnamita,VNM
198,Yemen,yemení,YEM
199,Yibuti,yibutiana,DJI
200,Zambia,zambiana,ZMB
201,Zimbabue,zimbabuense,ZWE
